Frequency,Nominal,Min,Max
15000,3.142246645322172e-8,3.138840928113462e-8,3.145665544770866e-8
15349.394884211311,3.143061243874665e-8,3.13951911099332e-8,3.146617422695396e-8
15706.928220763491,3.143914957712767e-8,3.140230013629681e-8,3.1476148747232446e-8
16072.789578564094,3.144809698385429e-8,3.140975249228618e-8,3.1486601158441706e-8
16447.172942147772,3.145747473838639e-8,3.141756513605016e-8,3.1497554716683615e-8
16830.276814529447,3.1467303935289896e-8,3.142575589669204e-8,3.150903384204922e-8
17222.304322453238,3.1477606738277675e-8,3.143434352176333e-8,3.1521064179619585e-8
17623.46332409294,3.14884064373324e-8,3.1443347727549435e-8,3.153367266387477e-8
18033.96651926119,3.149972750909959e-8,3.145278925232266e-8,3.154688758671374e-8
18454.03156218572,3.15115956807498e-8,3.1462689912748965e-8,3.1560738669301536e-8
18883.881176912502,3.152403799752272e-8,3.147307266364656e-8,3.1575257137972696e-8
19323.743275397002,3.153708289417723e-8,3.148396166130693e-8,3.159047580443396e-8
19773.8510783461,3.15507602705869e-8,3.149528911313653e-8,3.160642915052408e-8
20234.443238874795,3.15651015717332e-8,3.1506859250333934e-8,3.1623469377155904e-8
20705.763969043262,3.158013987236528e-8,3.1518995803030394e-8,3.164142595780874e-8
21188.063169341305,3.1595909966609615e-8,3.153172740840539e-8,3.166025285147027e-8
21681.596561188904,3.161244846283019e-8,3.154508422687726e-8,3.1679993291285615e-8
22186.625822523103,3.162979388405685e-8,3.1559098028667165e-8,3.170069274675007e-8
22703.418726543114,3.164798677431646e-8,3.157380228559053e-8,3.1722399046123044e-8
23232.24928368721,3.166706981122133e-8,3.158923226839511e-8,3.1745162505944144e-8
23773.397886916693,3.168708792518648e-8,3.1605425149981785e-8,3.176903606807183e-8
24327.15146038394,3.1708088425668146e-8,3.162242011486107e-8,3.1794075444686435e-8
24893.8036115634,3.173012113483458e-8,3.164025847521608e-8,3.182033927172262e-8
25473.654786926152,3.175323852910044e-8,3.16589837939607e-8,3.184788927121906e-8
26067.01243124062,3.177749588897639e-8,3.1678642015198564e-8,3.187679042309598e-8
26674.19115058383,3.180295145770435e-8,3.169928160250684e-8,3.190711114689521e-8
27295.512879149737,3.1829666609169705e-8,3.172095368548469e-8,3.1938923494039673e-8
27931.307049942996,3.185770602559931e-8,3.174371221502376e-8,3.1972303351192106e-8
28581.910769448692,3.18871378855734e-8,3.176761412777233e-8,3.200733065531472e-8
29247.668996370663,3.191803406289534e-8,3.179271952027962e-8,3.2044089621051834e-8
29928.934724533177,3.1950470336878777e-8,3.1819091833318386e-8,3.2082668981076504e-8
30626.069170042923,3.1984526614624735e-8,3.184679804689488e-8,3.212316224005935e-8
31339.441962810575,3.202028716587129e-8,3.187590888646193e-8,3.216566794293166e-8
32069.431342533462,3.20578408710057e-8,3.190649904085607e-8,3.2210289958125644e-8
32816.42435924327,3.209728148283178e-8,3.193864739247947e-8,3.225713777648166e-8
33580.81707852507,3.2138707902684134e-8,3.1972437260243965e-8,3.230632682651341e-8
34363.01479151657,3.218222447147298e-8,3.200795665578467e-8,3.235797880671861e-8
35163.432229798804,3.2227941276230044e-8,3.204529855343531e-8,3.2412222035610354e-8
35982.493785292325,3.2275974472704745e-8,3.208456117443509e-8,3.246919182012552e-8
36820.63373527542,3.232644662452956e-8,3.212584828580582e-8,3.2529030843037806e-8
37678.29647264366,3.237948705943406e-8,3.2169269514298723e-8,3.259188956996169e-8
38555.93674153292,3.2435232242935654e-8,3.2214940675760266e-8,3.265792667648284e-8
39454.019878430685,3.249382616987209e-8,3.2262984120205077e-8,3.2727309495882226e-8
40373.02205890369,3.255542077406273e-8,3.231340403531282e-8,3.280021448783933e-8
41313.43055007245,3.2620176356292776e-8,3.236618901065556e-8,3.287695555463843e-8
42275.74396896676,3.268826203070534e-8,3.242172256332217e-8,3.295789454431555e-8
43260.47254689904,3.2759856189556594e-8,3.248015370037293e-8,3.30429825623804e-8
44268.13839999573,3.283514698614222e-8,3.254163958416745e-8,3.3132441525936435e-8
45299.275806030186,3.291433283553271e-8,3.2606345934290697e-8,3.322650556802013e-8
46354.4314877038,3.299762293256153e-8,3.26744474400082e-8,3.3325421682794616e-8
47434.16490252563,3.30852377862932e-8,3.274612818205926e-8,3.342945039616933e-8
48539.04853944417,3.317740976995328e-8,3.2821582062349824e-8,3.3538866461384654e-8
49669.668222388595,3.327438368502826e-8,3.2901013239841984e-8,3.3653959578826325e-8
50826.62342088031,3.337641733793858e-8,3.298463657065154e-8,3.3775035139011663e-8
52010.52756787967,3.348378212734515e-8,3.3072678050061207e-8,3.3902414987312384e-8
53222.008385036235,3.3596763639764257e-8,3.3165375253832034e-8,3.403643820852966e-8
54461.708215515115,3.371566225072462e-8,3.3262977775849695e-8,3.4177461928894917e-8
55730.28436457579,3.384079372818763e-8,3.336574765876514e-8,3.432586213240305e-8
57028.40944808409,3.397248983433729e-8,3.347395981387243e-8,3.4482034487546535e-8
58356.771749142,3.4111098921086826e-8,3.358790242598349e-8,3.464639517943331e-8
59716.07558302449,3.4256986513673406e-8,3.3707877338472364e-8,3.4819381740838595e-8
61107.0416706168,3.44105358754131e-8,3.383420041289984e-8,3.5001453873790704e-8
62530.4075205502,3.4572148544894966e-8,3.396720185658599e-8,3.519309425059166e-8
63986.92782023879,3.474224483435402e-8,3.4107226509993636e-8,3.5394809279360183e-8
65477.37483602478,3.49212642742813e-8,3.425463408354531e-8,3.5607129813726137e-8
67002.53882264435,3.510966598392211e-8,3.440979933009135e-8,3.5830611778405825e-8
68563.22844223113,3.530792893928863e-8,3.457311213401695e-8,3.606583667086611e-8
70160.2711930796,3.551655209833972e-8,3.4744977489921475e-8,3.6313411882392143e-8
71794.51384839563,3.573605432507221e-8,3.4925815331406784e-8,3.6573970757012765e-8
73466.8229052668,3.5966974027452595e-8,3.5116060151493074e-8,3.684817227007131e-8
75178.08504409071,3.620986838399255e-8,3.531616032712871e-8,3.7136700154073156e-8
76929.20759870458,3.646531197378273e-8,3.5526577016078775e-8,3.744026121939948e-8
78721.11903746575,3.673389453525605e-8,3.574778242760329e-8,3.775958249914467e-8
80554.76945553775,3.701621744551716e-8,3.5980257167542675e-8,3.809540667241206e-8
82431.13107864352,3.73128883136004e-8,3.6224486207146424e-8,3.844848496192535e-8
84351.19877855219,3.7624512786372634e-8,3.648095279878105e-8,3.881956632013707e-8
86315.99060057336,3.79516822293145e-8,3.675012932468142e-8,3.920938115502283e-8
88326.54830333816,3.8294955299366466e-8,3.7032463564739566e-8,3.9618617017638865e-8
90383.93791115347,3.865483047654251e-8,3.732835812974647e-8,4.0047882455384935e-8
92489.25027922212,3.903170522567962e-8,3.76381397175787e-8,4.0497653451472844e-8
94643.60167202877,3.9425815421577935e-8,3.796201325479028e-8,4.096819427355148e-8
96848.13435519811,3.9837145714704184e-8,3.8299993665211436e-8,4.145944080041988e-8
99104.01720113918,4.026529727069013e-8,3.865180466084771e-8,4.197082903367251e-8
101412.44630879704,4.0709293316088656e-8,3.9016729188233353e-8,4.250104397888361e-8
103774.64563784024,4.116729463475376e-8,3.939338951770262e-8,4.304765382447438e-8
106191.86765762045,4.1636186135967386e-8,3.9779425968189994e-8,4.3611662164715005e-8
108665.39401124825,4.211098187857597e-8,4.017103168851177e-8,4.418370715104135e-8
111196.53619513736,4.2583980870234774e-8,4.056228735202894e-8,4.4754099006404065e-8
113786.63625437728,4.3043594189827344e-8,4.0944226712630516e-8,4.530863321942709e-8
116437.06749430347,4.347276692310864e-8,4.130355891037439e-8,4.582636210368082e-8
119149.23520864193,4.384696019136147e-8,4.1620992360105235e-8,4.627715799577361e-8
121924.57742461457,4.41317836789639e-8,4.186917967349706e-8,4.661894748198184e-8
124764.56566540033,4.428064596228883e-8,4.199949027456936e-8,4.6795179098754874e-8
127670.70573035613,4.423329167193254e-8,4.1952920580217065e-8,4.6733757362678027e-8
130644.53849341175,4.391681618008285e-8,4.1678945688777094e-8,4.6349552760559914e-8
133687.64072006146,4.325141670912851e-8,4.110102813472608e-8,4.5559516445189165e-8
136801.62590338607,4.2162972985197285e-8,4.0155336845249e-8,4.428140016479092e-8
139988.14511954825,4.060236596649096e-8,3.875952518905975e-8,4.253428002723163e-8
143248.88790321499,3.8566792606036295e-8,3.678547672713406e-8,4.043818939686644e-8
146585.5831433712,3.611351890381722e-8,3.440692704289009e-8,3.7899929574134604e-8
149999.99999999956,3.3356623569156187e-8,3.175605923604444e-8,3.503258059363075e-8
153493.94884211267,3.0445178132872394e-8,2.897571029174672e-8,3.198666039947574e-8
157069.28220763447,2.75319958927954e-8,2.6167706117276276e-8,2.8931146554806114e-8
160727.8957856405,2.474640888098898e-8,2.3478227667947792e-8,2.606572499736769e-8
164471.72942147727,2.2179650839308544e-8,2.1036841401891578e-8,2.338501515997166e-8
168302.76814529402,1.988316927138328e-8,1.8878091642164527e-8,2.0954593517856512e-8
172223.0432245319,1.7875109805366342e-8,1.7007557473781622e-8,1.880740537800624e-8
176234.6332409289,1.614971189492678e-8,1.5411307315733083e-8,1.6947923115010454e-8
180339.6651926114,1.468622016429609e-8,1.4064003073685072e-8,1.536157170027504e-8
184540.3156218567,1.3455912573649392e-8,1.2934940523920759e-8,1.4022727246242717e-8
188838.81176912453,1.2427077002415034e-8,1.1992165891744786e-8,1.2900642212569642e-8
193237.4327539695,1.156827144546332e-8,1.1205078839201911e-8,1.1963465610031681e-8
197738.51078346046,1.0850295526590422e-8,1.0545590847212527e-8,1.1180774790909234e-8
202344.4323887474,1.0247239718686258e-8,9.98971329488858e-9,1.05251461735408e-8
207057.63969043206,9.736894226892063e-9,9.517278786257775e-9,9.97284527027586e-9
211880.63169341246,9.300732404094869e-9,9.111419406031354e-9,9.5030958134111e-9
216815.96561188842,8.923633830759631e-9,8.758489108033492e-9,9.09920373796883e-9
221866.25822523038,8.593471521915809e-9,8.447619592133038e-9,8.747676828575324e-9
227034.18726543046,8.300651797578168e-9,8.170259399115014e-9,8.437777241778846e-9
232322.49283687142,8.037664225099824e-9,7.919741094053198e-9,8.161060655327809e-9
237733.97886916623,7.798674129619003e-9,7.690899703261006e-9,7.910945453813498e-9
243271.51460383867,7.579172135650343e-9,7.479750632498811e-9,7.682334060771786e-9
248938.03611563324,7.3756835023640964e-9,7.283226138360287e-9,7.471293963571557e-9
254736.54786926077,7.185533334612715e-9,7.098964583681611e-9,7.274797115129168e-9
260670.12431240542,7.006660593448655e-9,6.925144738877731e-9,7.090511759057135e-9
266741.91150583746,6.837472886498314e-9,6.760357135349199e-9,6.916638882615624e-9
272955.1287914965,6.676734315523131e-9,6.603505118791382e-9,6.7517853163543914e-9
279313.0704994291,6.523479547313909e-9,6.453537686893944e-9,6.59495454880973e-9
285819.107694486,6.376948363228531e-9,6.309975529534812e-9,6.445307438628269e-9
292476.68996370566,6.236536018779921e-9,6.172278718464041e-9,6.302059066252933e-9
299289.34724533075,6.101755706638184e-9,6.040008280033525e-9,6.164668466643703e-9
306260.69170042814,5.972210228422097e-9,5.912803498432168e-9,6.032697202027336e-9
313394.4196281046,5.847570641583768e-9,5.790363339209895e-9,5.905784845949497e-9
320694.3134253335,5.727560172615981e-9,5.672432460723875e-9,5.783630505116903e-9
328164.2435924315,5.6119420976441224e-9,5.558790677736228e-9,5.665978895544682e-9
335808.1707852495,5.500510607552846e-9,5.4492450196733056e-9,5.552609847841522e-9
343630.1479151645,5.393083916437108e-9,5.343623737962926e-9,5.443330391577552e-9
351634.3222979868,5.289499055705142e-9,5.241771777343577e-9,5.337968778319527e-9
359824.93785292195,5.189607934912867e-9,5.143547347083916e-9,5.236369961789448e-9
368206.33735275286,5.093274354945378e-9,5.048819319087448e-9,5.138392173517093e-9
376782.96472643525,5.000371737726665e-9,4.957465248185894e-9,5.04390432260531e-9
385559.36741532775,4.910781395585422e-9,4.869369861138415e-9,4.952784016009116e-9
394540.1987843054,4.8243912075825146e-9,4.7844238992066175e-9,4.864916046567821e-9
403730.2205890354,4.741094603193666e-9,4.702523227884277e-9,4.78019123412604e-9
413134.30550072296,4.6607897785166805e-9,4.6235681488490644e-9,4.698505533615755e-9
422757.439689666,4.583379088725598e-9,4.547462865291378e-9,4.619759345344561e-9
432604.7254689887,4.5087685743928e-9,4.474115063825548e-9,4.5438569787472625e-9
442681.3839999556,4.436867589718306e-9,4.403435585221844e-9,4.470706232859154e-9
452992.75806030014,4.3675885085218315e-9,4.3353381629757844e-9,4.4002180657718045e-9
463544.3148770362,4.300846489723894e-9,4.2697392138232716e-9,4.332306332091227e-9
474341.6490252545,4.236559288457406e-9,4.20655766814127e-9,4.266887572499921e-9
485390.4853944399,4.174647102276891e-9,4.145714831060662e-9,4.203880843349374e-9
496696.68222388404,4.115032444441645e-9,4.087134267297437e-9,4.143207577094385e-9
508266.2342088011,4.057640038146099e-9,4.03074170435711e-9,4.084791466559397e-9
520105.27567879466,4.002396727007542e-9,3.976464950017076e-9,4.02855836767651e-9
532220.0838503604,3.949231398212164e-9,3.92423382094104e-9,3.974436216585706e-9
544617.0821551491,3.898074915550419e-9,3.8739800800030145e-9,3.922354957938986e-9
557302.8436457558,3.84886006020577e-9,3.825637380450129e-9,3.872246481974659e-9
570284.0944808386,3.801521477644768e-9,3.779141215456058e-9,3.824044568481592e-9
583567.7174914177,3.755995629327444e-9,3.734428871940802e-9,3.777684836196876e-9
597160.7558302425,3.7122207482417115e-9,3.6914393877816044e-9,3.733104696505649e-9
611070.4167061656,3.6701367974850435e-9,3.6501135117318544e-9,3.690243310561886e-9
625304.0752054995,3.629685431285845e-9,3.6103936655129935e-9,3.649041549141927e-9
639869.2782023853,3.590809957988001e-9,3.572223907659348e-9,3.609441954691508e-9
654773.7483602451,3.553455304623592e-9,3.535549898784827e-9,3.5713887051426137e-9
670025.3882264408,3.517567982777745e-9,3.5003188680098335e-9,3.534827579166101e-9
685632.2844223086,3.4830960555111083e-9,3.4664795803407943e-9,3.4997059225958993e-9
701602.7119307932,3.4499891051535823e-9,3.433982304837086e-9,3.465972615815085e-9
717945.1384839533,3.4181982018207253e-9,3.402778783433534e-9,3.433578041936967e-9
734668.229052665,3.387675872534015e-9,3.3728222003128685e-9,3.402474055647807e-9
751780.8504409039,3.3583760708498344e-9,3.3440671517436065e-9,3.37261395260455e-9
769292.0759870426,3.3302541469208465e-9,3.316469616315482e-9,3.343952439302026e-9
787211.1903746541,3.303266817928713e-9,3.28998692551823e-9,3.316445603341115e-9
805547.6945553742,3.277372138839317e-9,3.2645777346204972e-9,3.2900508840430773e-9
824311.3107864318,3.2525294734419536e-9,3.240201993814885e-9,3.264727043366506e-9
843511.9877855184,3.2286994656422315e-9,3.2168209196027345e-9,3.240434137092619e-9
863159.90600573,3.2058440109856027e-9,3.1943969663987075e-9,3.2171334862523603e-9
883265.4830333779,3.1839262283943967e-9,3.1728937983407904e-9,3.194787648775337e-9
903839.379111531,3.162910432106469e-9,3.1522762612960337e-9,3.17336039134623e-9
924892.5027922174,3.142762103807969e-9,3.1325103550565767e-9,3.152816661459111e-9
946436.0167202839,3.1234478649566987e-9,3.1135632057240372e-9,3.1331225596643246e-9
968481.3435519771,3.1049354492959076e-9,3.0954030382835582e-9,3.114245312006254e-9
991040.1720113877,3.0871936755613735e-9,3.07799914937157e-9,3.09615324265345e-9
1014124.4630879661,3.0701924203871968e-9,3.061321880243701e-9,3.0788157467254544e-9
1037746.456378398,3.053902591417982e-9,3.045342589951385e-9,3.062203263323011e-9
1061918.6765762,3.0382961006370343e-9,3.030033628737423e-9,3.0462872487704884e-9
1086653.9401124779,3.0233458379217778e-9,3.015368311662265e-9,3.0310401500810856e-9
1111965.3619513689,3.0090256448389436e-9,3.0013208924739394e-9,3.01643537865686e-9
1137866.362543768,2.9953102886931406e-9,2.9878665377354593e-9,3.0024472842368046e-9
1164370.6749430296,2.9821754368432014e-9,2.9749813012242277e-9,2.989051129107131e-9
1191492.3520864141,2.9695976313012305e-9,2.962642098618375e-9,2.976223062588561e-9
1219245.7742461406,2.957554263629624e-9,2.9508266824851454e-9,2.96394009581585e-9
1247645.656653998,2.9460235501513877e-9,2.9395136175864552e-9,2.952180076824998e-9
1276707.057303556,2.9349845074890136e-9,2.9286822565165373e-9,2.940921665963539e-9
1306445.384934112,2.924416928446862e-9,2.9183127156861987e-9,2.9301443116391605e-9
1336876.407200609,2.9143013582515338e-9,2.9083858516676826e-9,2.919828226421471e-9
1368016.259033855,2.904619071164154e-9,2.8988832379134445e-9,2.9099543635112496e-9
1399881.4511954768,2.895352047477703e-9,2.8897871418613502e-9,2.9005043935907976e-9
1432488.8790321439,2.8864829509117245e-9,2.881080502437888e-9,2.8914606820682816e-9
1465855.8314337058,2.8779951064157777e-9,2.872746907970001e-9,2.882806266727985e-9
1499999.9999999895,2.8698724783919985e-9,2.864770574515047e-9,2.8745248357974797e-9
1534939.4884211204,2.862099649346039e-9,2.8571363246173247e-9,2.866600706441658e-9
1570692.8220763383,2.8546617989745296e-9,2.8498295664983524e-9,2.8590188036924424e-9
1607278.9578563983,2.847544683696091e-9,2.8428362736870015e-9,2.851764639821908e-9
1644717.2942147658,2.8407346166316774e-9,2.8361429650942733e-9,2.8448242941653577e-9
1683027.681452933,2.8342184480389166e-9,2.8297366855363458e-9,2.8381843933997323e-9
1722230.4322453116,2.8279835462039233e-9,2.8236049867083416e-9,2.831832092281589e-9
1762346.3324092813,2.822017778792866e-9,2.817735908610017e-9,2.8257550548476924e-9
1803396.651926106,2.8163094946645023e-9,2.8121179614234596e-9,2.8199414360802e-9
