Frequency,Nominal,Min,Max
15000,-30.509134188550963,-30.86389732342035,-30.161403967729644
15349.394884211311,-31.22167348914562,-31.5847774992834,-30.865773075894666
15706.928220763491,-31.950946021704375,-32.322590768253285,-31.58668002157365
16072.789578564094,-32.69735139092003,-33.07774179458287,-32.32451948906158
16447.172942147772,-33.46129922622453,-33.85064541468567,-33.0796960457263
16830.276814529447,-34.24320946818845,-34.6417269291669,-33.8526244230907
17222.304322453238,-35.04351266557813,-35.45142240581099,-34.64372980829396
17623.46332409294,-35.86265028362921,-36.2801789941048,-35.45344814647195
18033.96651926119,-36.701075024134596,-37.12845525191613,-36.282226454633985
18454.03156218572,-37.559251157985614,-37.996721484990346,-37.13052314765296
18883.881176912502,-38.43765487085069,-38.885460099974836,-37.998808377029626
19323.743275397002,-39.33677462272521,-39.79516597173249,-38.88756438313823
19773.8510783461,-40.25711152213819,-40.726346825759876,-39.7972858617119
20234.443238874795,-41.199179715859735,-41.679523636586566,-40.728480345381286
20705.763969043262,-42.16350679501541,-42.655231043096535,-41.68166860113984
21188.063169341305,-43.15063421858145,-43.65401778178403,-42.65738504467415
21681.596561188904,-44.16111775530888,-44.67644713903273,-43.656178172568765
22186.625822523103,-45.19552794520434,-45.723097423591724,-44.67861101347161
22703.418726543114,-46.25445058178444,-46.79456246051274,-45.72526159939066
23232.24928368721,-47.33848721641417,-47.89145210791352,-46.79672345838334
23773.397886916693,-48.44825568614615,-49.01439279804107,-47.89360613000064
24327.15146038394,-49.5843906665904,-50.164028104227675,-49.01653570495737
24893.8036115634,-50.74754425147005,-51.34101933546439,-50.16615539061844
25473.654786926152,-51.93838656065461,-52.5460461604581,-51.343126104023035
26067.01243124062,-53.157606378612726,-53.77980726319722,-52.548127094311305
26674.19115058383,-54.405911825392046,-55.04302103222243,-53.78185659657586
27295.512879149737,-55.68403106241288,-56.33642628598938,-55.045032519333354
27931.307049942996,-56.99271303556453,-57.6607830369194,-56.3383931680017
28581.910769448692,-58.3327282583104,-59.01687329696401,-57.66269800697773
29247.668996370663,-59.70486963775258,-60.40550192776485,-59.0187284631424
29928.934724533177,-61.10995334687344,-61.82749753877108,-60.40728877387503
30626.069170042923,-62.54881974646912,-63.28371343698868,-61.829206882940795
31339.441962810575,-64.022334360619,-64.77502863238163,-63.28533538792982
32069.431342533462,-65.5313889098994,-66.30234890332935,-64.77655254327138
32816.42435924327,-67.07690240695769,-67.86660792697158,-66.30376332323557
33580.81707852507,-68.65982231951415,-69.46876847975003,-67.86790054976157
34363.01479151657,-70.28112580636405,-71.10982371398633,-69.46992609043349
35163.432229798804,-71.94182103251843,-72.79079851693352,-71.11083213245833
35982.493785292325,-73.64294857025376,-74.51275095940504,-72.79164253910133
36820.63373527542,-75.38558289355093,-76.27677384183576,-74.51341429570549
37678.29647264366,-77.17083397420507,-78.0839963464766,-76.27723905317923
38555.93674153292,-78.99984898878763,-79.93558580537592,-78.08424477768662
39454.019878430685,-80.8738141466629,-81.83274959488348,-79.93559751623775
40373.02205890369,-82.79395665041609,-83.77673716863785,-81.83250328896595
41313.43055007245,-84.76154680136378,-85.76884224239043,-83.77621012011389
42275.74396896676,-86.7779002643138,-87.81040514561472,-85.76801022116052
43260.47254689904,-88.84438050745402,-89.90281535666637,-87.80924234112592
44268.13839999573,-90.96240143521015,-92.04751424035473,-89.9012943009315
45299.275806030186,-93.13343023417136,-94.24599800919405,-92.04560573080889
46354.4314877038,-95.35899045478855,-96.49982093238964,-94.24367103218546
47434.16490252563,-97.6406653545699,-98.8105988198483,-96.49704258829586
48539.04853944417,-99.98010153201062,-101.18001281226842,-98.80733425103979
49669.668222388595,-102.37901288459547,-103.60981351277343,-101.17622513542469
50826.62342088031,-104.83918492902124,-106.10182550072804,-103.60546375739366
52010.52756787967,-107.36247952745023,-108.65795227448541,-106.09687255608904
53222.008385036235,-109.95084007029978,-111.28018167704992,-108.65235284779463
54461.708215515115,-112.60629717403546,-113.97059186726189,-111.27389026614323
55730.28436457579,-115.33097496192752,-116.7313579094148,-113.96356075192178
57028.40944808409,-118.12709800712405,-119.5647590666083,-116.72353716627305
58356.771749142,-120.99699903111633,-122.47318689810194,-119.55609661367303
59716.07558302449,-123.94312746728656,-125.45915427908417,-122.46362857626238
61107.0416706168,-126.96805901943424,-128.52530548340445,-125.44864397955287
62530.4075205502,-130.0745063698689,-131.67442749690397,-128.51378533201589
63986.92782023879,-133.2653312219536,-134.90946276230665,-131.6618381085944
65477.37483602478,-136.54355789932137,-138.23352359776575,-134.89574358204644
67002.53882264435,-139.91238877017474,-141.64990858215046,-138.21861334783915
68563.22844223113,-143.3752218224056,-145.16212126353744,-141.63374584012828
70160.2711930796,-146.93567078665035,-148.77389162639753,-145.14464520077328
71794.51384839563,-150.59758829345472,-152.4892008516661,-148.75504294362318
73466.8229052668,-154.36509266203393,-156.31231002732943,-152.46892295657722
75178.08504409071,-158.2425990573255,-160.24779362155112,-156.29055050927946
76929.20759870458,-162.23485592603961,-164.30057872325722,-160.22450609104754
78721.11903746575,-166.34698783950506,-168.47599129541706,-164.2757250993699
