Frequency,Nominal,Min,Max
15000,-0.5324848435229828,-0.5386766282911503,-0.5264158062609638
15349.394884211311,-0.5449210003682171,-0.5512583608723163,-0.5387093663477796
15706.928220763491,-0.557649207205725,-0.5641356316807433,-0.5512915661503737
16072.789578564094,-0.5706764384531021,-0.5773155034400089,-0.5641692942091997
16447.172942147772,-0.5840098434926491,-0.5908052164113863,-0.5773496115568727
16830.276814529447,-0.5976567516699849,-0.6046121934907469,-0.5908397566239787
17222.304322453238,-0.6116246774786729,-0.618744045496691,-0.6046471503260336
17623.46332409294,-0.6259213259406079,-0.6332085766600132,-0.6187794013410164
18033.96651926119,-0.6405545981926061,-0.6480137903253171,-0.6332443115875521
18454.03156218572,-0.6555325972903419,-0.6631678948763506,-0.6480498819145127
18883.881176912502,-0.6708636342415804,-0.6786793098974443,-0.6632043180135698
19323.743275397002,-0.6865562342815051,-0.6945566725843406,-0.6787160365670398
19773.8510783461,-0.7026191434038574,-0.7108088444186512,-0.6945936716442613
20234.443238874795,-0.7190613351626143,-0.7274449181212361,-0.7108460813607007
20705.763969043262,-0.7358920177600207,-0.7444742249009298,-0.7274823548150293
21188.063169341305,-0.7531206414379769,-0.7619063420162828,-0.7445118193205523
21681.596561188904,-0.7707569061910675,-0.779751100669322,-0.7619440479486062
22186.625822523103,-0.7888107698209231,-0.798018594251812,-0.7797888674028801
22703.418726543114,-0.8072924563531452,-0.8167191869660864,-0.7980563662450955
23232.24928368721,-0.8262124648396728,-0.8358635228442697,-0.8167569034940568
23773.397886916693,-0.8455815785713148,-0.8554625351916127,-0.8359011176218505
24327.15146038394,-0.8654108747271484,-0.8755274564817421,-0.8554999359728659
24893.8036115634,-0.8857117344896737,-0.8960698287339247,-0.8755645846333939
25473.654786926152,-0.9064958536569965,-0.9171015144049184,-0.8961065987818506
26067.01243124062,-0.9277752537859315,-0.9386347078307521,-0.917137833552173
26674.19115058383,-0.9495622939028094,-0.9606819472567691,-0.9386704754456804
27295.512879149737,-0.9718696828219008,-0.9832561274975953,-0.9607170543297163
27931.307049942996,-0.994710492114893,-1.0063705132723386,-0.9832904560647086
28581.910769448692,-1.0180981697786537,-1.0300387532643431,-1.0064039358049335
29247.668996370663,-1.0420465546527766,-1.0542748949592786,-1.0300711320223277
29928.934724533177,-1.06656989164307,-1.0790934003202457,-1.0543060813071277
30626.069170042923,-1.091682847812331,-1.1045091623640295,-1.079123234004057
31339.441962810575,-1.1174005294055003,-1.1305375227086591,-1.1045374707482583
32069.431342533462,-1.1437384998826423,-1.1571942901691485,-1.1305641199711922
32816.42435924327,-1.170712799040321,-1.1844957604857373,-1.157218976453518
33580.81707852507,-1.198339963309812,-1.2124587372772937,-1.184518321009409
34363.01479151657,-1.2266370473294073,-1.2411005543218039,-1.2124789413951764
35163.432229798804,-1.255621646897953,-1.2704390992762953,-1.2411181545443783
35982.493785292325,-1.2853119234277788,-1.3004928389601815,-1.2704538302420834
36820.63373527542,-1.3157266300275776,-1.3312808463391186,-1.3005044163626724
37678.29647264366,-1.3468851393597792,-1.3628228293612397,-1.3312889658087796
38555.93674153292,-1.378807473432657,-1.395139161814253,-1.362827165303819
39454.019878430685,-1.4115143355052358,-1.4282509163907726,-1.3951393662073501
40373.02205890369,-1.4450271443032165,-1.4621799001706424,-1.4282466175415445
41313.43055007245,-1.479368070767066,-1.4969486927533096,-1.4621707014385814
42275.74396896676,-1.5145600775795334,-1.5325806873011476,-1.496934171243401
43260.47254689904,-1.5506269617497432,-1.5691001347863482,-1.5325603925342612
44268.13839999573,-1.5875934005652326,-1.606532191770557,-1.5690735873556685
45299.275806030186,-1.6254850012627238,-1.6449029720884574,-1.6064988819951764
46354.4314877038,-1.6643283548139052,-1.6842396028551434,-1.644862358678039
47434.16490252563,-1.7041510942752014,-1.724570285273576,-1.6841911116029538
48539.04853944417,-1.7449819582118122,-1.765924360784131,-1.7245133077992096
49669.668222388595,-1.7868508597778883,-1.8083323831752083,-1.7658582533522065
50826.62342088031,-1.8297889621186383,-1.8518261973641854,-1.8082564656221751
52010.52756787967,-1.8738287608590123,-1.8964390256646317,-1.8517397521725658
53222.008385036235,-1.9190041745604447,-1.9422055624819863,-1.8963412972326537
54461.708215515115,-1.9653506441661048,-1.989162078530392,-1.9420957566470687
55730.28436457579,-2.012905242620777,-2.037346535843213,-1.9890393624176197
57028.40944808409,-2.0617067960503466,-2.086798715066057,-2.0372100381254366
58356.771749142,-2.1117960181253688,-2.13756035678226,-2.0866475267410376
59716.07558302449,-2.163215659523171,-2.1896753189375517,-2.137393532595194
61107.0416706168,-2.2160106747556103,-2.24318975281693,-2.1894918796053595
62530.4075205502,-2.27022840906055,-2.2981523004995297,-2.2429886882448713
63986.92782023879,-2.3259188085838884,-2.354614317298935,-2.2979325742227155
65477.37483602478,-2.38313465773067,-2.41263012341429,-2.35437487243272
67002.53882264435,-2.4419318483698893,-2.472257289907498,-2.4123698904607758
68563.22844223113,-2.502369686578202,-2.5335569652279997,-2.471975196843061
70160.2711930796,-2.564511243853495,-2.5965942498858583,-2.5332519503924797
71794.51384839563,-2.628423761283653,-2.661438628596515,-2.5962652783117823
73466.8229052668,-2.6941791170986304,-2.728164471375046,-2.6610847125618395
75178.08504409071,-2.761854370463605,-2.796851617752435,-2.727784696141427
76929.20759870458,-2.8315323974080253,-2.86758606165298,-2.796445173670489
78721.11903746575,-2.903302638574332,-2.940460758666334,-2.8671522840850936
80554.76945553775,-2.977261983178689,-3.0155765826472543,-2.939999177506248
82431.13107864352,-3.053515819390218,-3.093043464970998,-3.015086983614772
84351.19877855219,-3.1321792884430337,-3.1729817575417476,-3.0925259653404247
86315.99060057336,-3.2133787883537206,-3.255523869917454,-3.172436899533052
88326.54830333816,-3.297253783183801,-3.3408162416506624,-3.2549527356426506
90383.93791115347,-3.3839589851966085,-3.429021722810809,-3.340220594255352
92489.25027922212,-3.4736669893942484,-3.5203224476973762,-3.4284041792476647
94643.60167202877,-3.5665714513161655,-3.614923296893813,-3.519686689333348
96848.13435519811,-3.6628909066267594,-3.713056046948113,-3.614274324719637
99104.01720113918,-3.762873329185484,-3.814984297474126,-3.71240048821017
101412.44630879704,-3.866801502563567,-3.9210092287253078,-3.8143307695076984
103774.64563784024,-3.974999220047912,-4.031476155105972,-3.9203687626154853
106191.86765762045,-4.087838198858954,-4.146781662019363,-4.030862674789844
108665.39401124825,-4.205745344121498,-4.267380780670525,-4.146212500659969
111196.53619513736,-4.329209545589999,-4.3937930689089235,-4.266877190919568
113786.63625437728,-4.458786414179366,-4.526605484998873,-4.393380639991042
116437.06749430347,-4.5950981048566515,-4.66646839338134,-4.526314307767505
119149.23520864193,-4.738823459251905,-4.81407878916515,-4.666332703938364
121924.57742461457,-4.890671081343438,-4.970141960877153,-4.814135666934808
124764.56566540033,-5.051324999043528,-5.135300080180723,-4.970428475011442
127670.70573035613,-5.221350651362746,-5.310015767089951,-5.13584814249015
130644.53849341175,-5.401051313427272,-5.494404828648758,-5.310844041782315
133687.64072006146,-5.590277109319777,-5.6880309387771835,-5.495507685885348
136801.62590338607,-5.788215584927735,-5.889708670608274,-5.689365953413062
139988.14511954825,-5.993231449244963,-6.097399261427302,-5.891186463932546
143248.88790321499,-6.2028516249666605,-6.3082940217127215,-6.098881355355606
146585.5831433712,-6.413971499862736,-6.51912695387085,-6.3096034994242185
149999.99999999956,-6.623268749126142,-6.726646840813496,-6.520071645823796
153493.94884211267,-6.82769605362553,-6.92808396854758,-6.727047832214861
157069.28220763447,-7.02487479022874,-7.121450032507548,-6.927798947473469
160727.8957856405,-7.213273146357108,-7.305608525491771,-7.120384340459774
164471.72942147727,-7.392168679714922,-7.480277343299473,-7.303713608351287
168302.76814529402,-7.561477360416836,-7.646139278473023,-7.4774261845543695
172223.0432245319,-7.721543589458056,-7.802874899829115,-7.6416893678997475
176234.6332409289,-7.872954053433627,-7.951153287586553,-7.796995527694966
180339.6651926114,-8.016400350603265,-8.091703128419853,-7.944000420308213
184540.3156218567,-8.152590382450681,-8.22524070977366,-8.08341241704699
188838.81176912453,-8.282197949559112,-8.35243187210731,-8.215925569423112
193237.4327539695,-8.405838379781374,-8.473875871216942,-8.34213426801172
197738.51078346046,-8.524060182385425,-8.59010208239318,-8.462331114704158
202344.4323887474,-8.637345687251328,-8.701573505561601,-8.577430632282226
207057.63969043206,-8.746116170155018,-8.808693369773954,-8.687869838647167
211880.63169341246,-8.85073879307039,-8.911812723871451,-8.794030254676047
216815.96561188842,-8.951533881436239,-9.011237896863843,-8.896244864490557
221866.25822523038,-9.048781789707315,-9.10723730157179,-8.994804948574778
227034.18726543046,-9.14272902928635,-9.200047386322442,-9.089966321429047
232322.49283687142,-9.233593565075635,-9.28987771443942,-9.181954797889253
237733.97886916623,-9.32156930570909,-9.376915235662507,-9.2709708681062
243271.51460383867,-9.406829866599809,-9.461327847650619,-9.357193637244482
248938.03611563324,-9.489531703569128,-9.54326735307519,-9.440784117215724
254736.54786926077,-9.569816715140018,-9.622871912070973,-9.521887965041174
260670.12431240542,-9.647814403292994,-9.700268078498052,-9.600637757781975
266741.91150583746,-9.723643670915576,-9.775572495580535,-9.677154884122885
